LED3_2,,LED3_3,,LED3_4,,LED3_5,,LED3_6,,LED3_7,,LED3_8,,LED3_9,,LED3_10,,LED3_11,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
220.9299927,0.05086728558,220.9299927,0.05086728558,220.9299927,0.1526018679,220.9299927,0.4069382846,220.9299927,17.19314194,220.9299927,5.442799568,220.9299927,0.3052037358,220.9299927,0.3560710251,220.9299927,0.6104074717,220.9299927,0.6612747312,
222.0299988,0.1017345712,222.0299988,0.2034691423,222.0299988,0.2543364167,222.0299988,0.4069382846,222.0299988,16.93880653,222.0299988,5.544534206,222.0299988,0.2034691423,222.0299988,0.2034691423,222.0299988,0.5086728334,222.0299988,0.6104074717,
222.9600067,0.1017345712,222.9600067,0.2034691423,222.9600067,0.2543364167,222.9600067,0.5086728334,222.9600067,16.93880653,222.9600067,5.239330769,222.9600067,0.2034691423,222.9600067,0.3560710251,222.9600067,0.7630093098,222.9600067,0.5086728334,
224.0599976,0.1017345712,224.0599976,0.2034691423,224.0599976,0.2543364167,224.0599976,0.5086728334,224.0599976,17.34574509,224.0599976,5.748003483,224.0599976,0.2543364167,224.0599976,0.3052037358,224.0599976,0.3052037358,224.0599976,0.5595401525,
225,0.2034691423,225,0.2543364167,225,0.4069382846,225,0.4578055739,225,17.09140778,225,5.798870564,225,0.2034691423,225,0.4578055739,225,0.3052037358,225,0.6104074717,
225.9299927,0.1017345712,225.9299927,0.1017345712,225.9299927,0.2034691423,225.9299927,0.3052037358,225.9299927,16.83707237,225.9299927,5.442799568,225.9299927,0.3052037358,225.9299927,0.3560710251,225.9299927,0.3052037358,225.9299927,0.5595401525,
227.0299988,0.1526018679,227.0299988,0.2543364167,227.0299988,0.2034691423,227.0299988,0.3560710251,227.0299988,16.73533821,227.0299988,5.951472759,227.0299988,0.2543364167,227.0299988,0.3052037358,227.0299988,0.4578055739,227.0299988,0.6612747312,
227.9600067,0.05086728558,227.9600067,0.1526018679,227.9600067,0.2034691423,227.9600067,0.5086728334,227.9600067,16.37926674,227.9600067,6.104074478,227.9600067,0.3560710251,227.9600067,0.2034691423,227.9600067,0.5595401525,227.9600067,0.4069382846,
229.0599976,0.1526018679,229.0599976,0.1017345712,229.0599976,0.3052037358,229.0599976,0.5086728334,229.0599976,17.34574509,229.0599976,5.748003483,229.0599976,0.2543364167,229.0599976,0.3560710251,229.0599976,0.3052037358,229.0599976,0.7630093098,
230,0.2034691423,230,0.2034691423,230,0.2543364167,230,0.5595401525,230,17.90528488,230,6.00233984,230,0.2034691423,230,0.4069382846,230,0.4578055739,230,0.6612747312,
230.9299927,0.1526018679,230.9299927,0.2034691423,230.9299927,0.1526018679,230.9299927,0.4578055739,230.9299927,17.70181656,230.9299927,5.951472759,230.9299927,0.3052037358,230.9299927,0.3052037358,230.9299927,0.3052037358,230.9299927,0.6104074717,
