Wavelength (nm),Intensity (a.u.),Z Axis,
,LED2_1,LED2_2,LED2_3,LED2_4,LED2_5,LED2_6
,1,2,3,4,5,6
200,65.1101226806641,0.254336416721344,0.254336416721344,0.101734571158886,0.101734571158886,0.101734571158886
200.929992675781,65.8731384277344,0.356071025133133,0.101734571158886,0.254336416721344,0.1526018679142,0.203469142317772
202.029998779297,67.3991622924805,0.203469142317772,0.203469142317772,0.101734571158886,0.1526018679142,0.050867285579443
202.960006713867,68.0604248046875,0.356071025133133,0.101734571158886,0.1526018679142,0.1526018679142,0
204.059997558594,68.8234405517578,0.254336416721344,0.101734571158886,0.1526018679142,0.1526018679142,0.203469142317772
205,71.9772109985352,0.3052037358284,0.203469142317772,0.1526018679142,0.203469142317772,0.101734571158886
205.929992675781,69.9933853149414,0.406938284635544,0.203469142317772,0.1526018679142,0.203469142317772,0.050867285579443
207.029998779297,70.1968612670898,0.203469142317772,0.203469142317772,0.1526018679142,0.203469142317772,0.101734571158886
207.960006713867,72.8419570922852,0.356071025133133,0.203469142317772,0.254336416721344,0.203469142317772,0.1526018679142
209.059997558594,69.5864486694336,0.356071025133133,0.406938284635544,0.1526018679142,0.203469142317772,0.1526018679142
210,69.0269088745117,0.203469142317772,0.254336416721344,0.203469142317772,0.254336416721344,0.050867285579443
210.929992675781,72.028076171875,0.1526018679142,0.101734571158886,0.1526018679142,0.1526018679142,0.050867285579443
212.029998779297,71.5702667236328,0.3052037358284,0.203469142317772,0.203469142317772,0.1526018679142,0.203469142317772
212.960006713867,74.8766403198242,0.203469142317772,0.254336416721344,0.1526018679142,0.203469142317772,0.203469142317772
214.059997558594,71.9263381958008,0.3052037358284,0.254336416721344,0.1526018679142,0.101734571158886,0.1526018679142
215,74.0119018554687,0.406938284635544,0.1526018679142,0.203469142317772,0.101734571158886,0.1526018679142
215.929992675781,74.5714492797852,0.3052037358284,0.203469142317772,0.1526018679142,0.050867285579443,0.050867285579443
217.029998779297,75.6396560668945,0.254336416721344,0.203469142317772,0.3052037358284,0.050867285579443,0.1526018679142
217.960006713867,75.1818466186523,0.254336416721344,0.1526018679142,0.3052037358284,0.1526018679142,0.203469142317772
219.059997558594,73.248893737793,0.254336416721344,0.1526018679142,0.101734571158886,0.203469142317772,0.101734571158886
220,76.5552673339844,0.1526018679142,0.203469142317772,0.203469142317772,0.254336416721344,0.101734571158886
220.929992675781,75.9448623657227,0.1526018679142,0.254336416721344,0.101734571158886,0.1526018679142,0.1526018679142
222.029998779297,79.0986328125,0.406938284635544,0.101734571158886,0.1526018679142,0.1526018679142,0.050867285579443
222.960006713867,76.1991958618164,0.254336416721344,0.254336416721344,0.254336416721344,0.254336416721344,0.3052037358284
224.059997558594,77.2674102783203,0.254336416721344,0.254336416721344,0.1526018679142,0.050867285579443,0.1526018679142
